NBI DATA - Western Washington,,,,,,,ADT parameter,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"move to left, filter by < than",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK FILTERS IN THESE CELLS,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,0,,000000FS,#N/A,47.36769444,-122.2492778,0,1,0,53,000000FS0000000,1,4,1,450,0,1,33,35415,'MILL CR',,'W VALLEY HWY','0.7 MI S JCT SR-516',99.99,0.001,0,,,47220370,122145740,10,3,4,4,16,1915,2,0,24100,2018,0,9.1,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,0,1,0,7.9,9.1,10.7,0,0,8,8.6,99.99,N,0,N,0,0,N,N,N,5,5,8,44.4,8,36.6,5,2,N,5,8,8,31,1,13.7,420,24,N  ,N  ,N  ,,,,350,250,750,2014,,,               ,0,N,2,,0,0,0,N,N,N,N,4,0,,Y,2,40100,2038,,N,53,F,5,92.02
0,0,,000000FV,500/18,45.58977778,-122.4030556,0,1,0,53,000000FV0000000,1,3,1,500,0,4,11,0,'HJF CANAL',,'SR 500','13.8 E JCT SR 503',99.99,30.449,0,,,45352320,122241100,16,3,1,1,16,1915,2,0,7743,2019,0,11.3,0,31,0,0,0,0,0,5,0,0,0,A,5,5,1,4,0,0,1,0,11.3,7,7.6,1.8,1.5,11.3,15.2,99.99,N,0,N,0,0,4,7,6,8,N,0,22.7,0,14.5,3,4,N,5,8,8,35,1,7.6,418,48,N  ,N  ,N  ,,,,195,39,390,2014,,,               ,0,N,2,,0,0,1937,1,6,2,0,6,0,,Y,8,11211,2039,,N,53,P,4,115.52
0,0,,000000FX,#N/A,48.26511111,-122.1654444,0,1,0,53,000000FX0000000,1,4,1,77500,0,1,61,0,'PILCHUCK CR',,'OLD SR9','0.2 NE JCT SR9',99.99,0.001,0,,,48155440,122095560,2,3,2,2,9,1916,1,0,80,2018,0,7.6,0,0,0,1,1,1,1,2,0,0,0,A,1,5,2,19,0,0,2,0,5.1,16.8,36.6,0,0,5.2,5.5,99.99,N,0,N,0,0,N,N,N,6,5,1,75.3,1,48.1,5,3,N,5,6,3,35,1,36.6,820,24,N  ,N  ,N  ,,,,648,130,1296,2014,,,               ,0,N,3,,0,0,0,N,N,N,N,5,0,,Y,5,150,2038,,N,53,F,5,201.3
0,0,,000000GJ,9/210,48.43066667,-122.26425,0,1,0,53,000000GJ0000000,1,3,1,9,0,1,57,0,'W FK NOOKACHAMPS CR',,'SR 9','0.1 N JCT SR 538',99.99,80.178,0,,,48255040,122155130,13,3,1,1,7,1920,2,0,7553,2019,3,8.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,11,0,0,2,0,6.1,33.5,74.1,0,0,6.1,6.9,99.99,N,0,N,0,0,N,6,6,8,N,8,57.3,8,44.1,6,2,N,5,8,8,35,1,74.1,421,24,N  ,N  ,N  ,,,,1506,301,3013,2014,,,               ,0,N,2,,0,1,0,N,N,N,N,6,0,,Y,9,11118,2039,,N,53,F,6,511.29
0,0,,000000HA,706/8,46.75530556,-121.9614444,0,1,1,53,000000HA0000000,1,3,1,706,0,3,53,0,'COPPER CR',,'SR 706','11.2 E JCT SR 7',99.99,17.96,1,,0,46451910,121574120,43,3,1,1,6,1922,2,0,2213,2019,4,7.9,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,4,0,0,1,0,7.6,6.7,7.9,0,0,7.6,8.2,99.99,N,0,N,0,0,7,6,6,7,N,8,32.4,8,24.9,6,2,N,5,8,8,35,1,7.9,421,24,N  ,N  ,N  ,,,,146,29,291,2014,,,               ,0,N,2,,0,0,0,1,6,0,0,3,1,,Y,3,3204,2039,,N,53,F,6,64.78
0,0,,000000HE,#N/A,45.74181111,-122.5468639,0,1,0,53,000000HE0000000,1,4,1,50359,0,4,11,99011,'SALMON CREEK',,'Caples Road','5.4 N JCT SR 503',99.99,0.001,0,,,45443052,122324871,10,3,2,2,7,1923,2,0,1640,2017,0,7.3,0,0,0,0,0,0,0,4,0,0,0,A,1,5,1,19,0,0,1,0,7.2,15.2,24.4,0,0,7.2,7.9,99.99,N,0,N,0,0,N,N,N,8,7,8,69.7,8,53.8,7,3,N,5,6,6,31,1,30.5,721,24,N  ,N  ,N  ,,,,450,150,1520,,,,               ,0,N,2,,0,0,0,N,6,0,0,11,0,,Y,7,4733,2043,,N,53,G,7,192.76
0,0,,000000HH,#N/A,47.64691667,-122.3046111,0,1,1,53,000000HH0000000,1,3,1,513,0,1,33,0,'MONTLAKE CUT',,'SR 513','0.2 N JCT SR 520',5.36,0.306,1,,0,47384890,122181660,5,3,1,1,14,1924,4,0,65696,2019,0,28.3,0,0,0,0,0,0,0,1,1,9.1,45.7,P,5,5,3,16,2,4,1,6,12.2,47.5,104.9,3,3,12.2,18.3,5.36,N,0,N,0,0,5,6,6,8,N,1,29.9,1,18.1,4,2,N,2,8,8,35,1,104.9,520,24,Y24,N  ,Y24,520,,520,6536,1307,13072,2014,,,               ,0,N,2,,1,0,1999,3,9,0,0,3,1,1,Y,8,92762,2039,,N,53,F,5,1919.67
0,0,,000000HV,507/8,46.73042222,-122.9536917,0,1,0,53,000000HV0000000,1,3,1,507,0,4,41,0,'SKOOKUMCHUCK RIVER',,'SR 507','2.4 N JCT I-5',4.47,3.798,0,,,46434952,122571329,6,3,1,1,16,1928,2,0,9038,2019,4,9.8,0,0,0,0,0,0,0,3,0,0,0,A,5,5,3,10,1,1,1,2,6.1,45.4,56.7,1.5,1.5,6.1,6.7,4.47,N,0,N,0,0,6,4,5,7,N,1,37.2,1,22.7,4,2,N,5,8,8,35,1,56.7,621,24,Y24,N  ,N  ,621,,,1265,253,2530,2014,,,               ,0,N,2,,0,0,0,1,1,0,0,5,0,,Y,5,11640,2039,,N,53,P,4,379.89
0,0,,000000HX,509/101,47.31796944,-122.4144389,0,1,1,53,000000HX0000000,1,3,1,509,0,1,33,0,'THAMES CREEK/PED TRAIL',,'SR 509','11.0 N JCT I-705',99.99,12.633,0,,,47190469,122245198,10,3,1,1,16,1929,2,0,3925,2019,0,9.1,0,0,0,1,1,1,1,5,0,0,0,A,5,5,3,3,0,0,11,0,8.5,21.9,169.8,0,1.7,8.5,10.7,99.99,N,0,N,0,0,7,5,5,8,N,1,35.4,1,20.9,5,4,N,5,8,8,35,1,169.8,820,24,Y24,N  ,N  ,820,,,4233,847,8466,2022,,,               ,0,N,2,,0,0,1996,1,1,0,1,3,1,,Y,9,5683,2039,,N,53,F,5,1816.86
0,0,,000000HY,509/103,47.32666667,-122.3769694,0,1,1,53,000000HY0000000,1,3,1,509,0,1,33,0,'JOES CREEK',,'SR 509','2.7 N PIERCE CO',99.99,15.981,0,,,47193600,122223709,10,3,1,1,16,1929,2,0,3971,2019,6,9.8,0,0,0,1,1,1,0,5,0,0,0,A,5,5,4,3,0,0,5,0,8.5,21.9,80.5,0,1.8,8.5,11,99.99,N,0,N,0,0,7,6,6,8,N,1,49,1,29.9,6,4,N,5,8,8,35,1,80.5,820,24,Y24,N  ,N  ,820,,,1795,359,3590,2014,,,               ,0,N,2,,0,0,1996,1,1,0,1,5,1,,Y,9,5607,2039,,N,53,F,6,885.5
0,0,,000000IC,99/557,47.63901667,-122.3455389,0,1,1,53,000000IC0000000,1,3,1,99,0,1,33,0,'DEXTER WAY N',,'SR 99','7.4 N JCT SR 509',99.99,54.508,1,,0,47382046,122204394,2,3,1,1,12,1930,6,1,60140,2019,0,24.4,3,25,0,1,0,0,0,5,N,0,0,A,5,1,1,4,0,0,1,0,11.6,10.7,10.7,3.7,3.7,23.2,32.3,99.99,H,4.32,H,2,0.3,7,6,7,N,N,8,41.1,8,31.8,6,2,4,5,N,8,35,1,10.7,320,24,N  ,N  ,N  ,,,,574,115,1148,2014,,,               ,0,N,2,,1,0,0,1,6,0,0,4,1,,Y,N,84917,2039,,N,53,F,6,345.61
0,0,,000000II,500/16,45.60438889,-122.4071389,0,1,0,53,000000II0000000,1,3,1,500,0,4,11,0,'LACAMAS LAKE',,'SR 500','12.6 E JCT SR 503',99.99,28.598,0,,,45361580,122242570,16,3,1,1,16,1930,2,0,11297,2019,0,7.3,0,0,0,1,0,1,1,5,0,0,0,A,5,5,2,4,0,0,3,0,7.3,9.1,24.1,2.1,0,7.3,9.9,99.99,N,0,N,0,0,4,6,6,7,N,1,62.6,1,38.1,6,2,N,5,8,8,35,1,24.1,1021,24,N  ,N  ,N  ,,,,411,82,822,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,4,0,,Y,3,16358,2039,,N,53,P,4,238.59
0,0,,000000IR,169/8,47.27637222,-121.9917778,0,1,1,53,000000IR0000000,1,3,1,169,0,1,33,0,'GREEN R',,'SR 169','5.3 N JCT SR 164',99.99,8.369,1,,0,47163494,121593040,18,3,1,1,2,1932,2,0,10464,2019,0,11.6,0,0,0,1,0,1,1,3,0,0,0,A,5,5,3,9,1,4,4,2,7.3,44.8,209.7,1,0,7.3,8.5,99.99,N,0,N,0,0,6,5,6,7,N,1,36.3,1,21.8,5,2,N,5,8,8,35,1,209.7,521,24,Y24,N  ,N  ,521,,,5504,1101,11008,2014,,,               ,0,N,2,,0,0,0,1,3,2,0,3,1,,Y,5,14775,2039,,N,53,F,5,1782.45
0,0,,000000IU,503/26,45.96031111,-122.3724667,0,1,1,53,000000IU0000000,1,3,1,503,0,4,11,0,'LEWIS RIVER',,'SR 503','19.8 N JCT SR 502',4.44,44.788,1,,0,45573712,122222088,109,3,1,1,6,1932,1,0,1083,2019,1,6.4,0,0,0,0,0,1,1,1,0,0,0,P,1,5,3,13,3,2,1,5,5.1,91.4,139.6,0,0,5.1,6.1,4.44,N,0,N,0,0,6,5,6,8,N,8,13.6,8,10.4,3,2,N,3,8,3,35,1,139.6,321,24,Y24,Y60,Y24,321,718,321,2107,421,4214,2014,,,               ,0,N,3,,0,2,1957,8,6,0,0,9,1,,Y,8,1568,2039,,N,53,F,5,851.56
0,0,,000000JE,#N/A,47.37412222,-122.3205972,0,1,0,53,000000JE0000000,1,5,1,325,0,1,33,17835,'SALTWATER STATE PARK',,'MARINE VIEW DR','2.6 MI NW OF JCT SR99',99.99,0.001,0,,,47222684,122191415,5,3,4,4,16,1934,2,2,3507,2019,0,9.8,0,0,0,1,0,1,0,5,0,0,0,A,5,6,2,2,0,0,8,0,7.3,30.5,173.7,1.4,0,7.3,9.5,99.99,H,27.43,H,1.8,0,6,6,6,8,N,8,51.5,8,39.9,6,2,4,5,8,8,35,1,173.7,321,24,N  ,N  ,N  ,,,,3876,775,7752,2014,,,               ,0,N,2,,0,0,2015,1,3,0,0,1,0,,Y,8,4000,2036,,N,53,F,6,1650.15
0,0,,000000JG,20/116,48.40197222,-122.6446389,1,1,1,53,000000JG0000000,1,3,1,20,0,1,29,0,'STATE PARK ROAD/TRAIL',,'SR 20','25.2 E JCT SR 525',99.99,66.917,1,,0,48240710,122384070,159,3,1,1,2,1935,2,0,19838,2019,0,8.2,0,0,0,0,0,0,0,1,N,0,0,A,1,3,1,1,0,0,1,0,8.1,6.4,6.4,0,0.2,8,9,99.99,N,0,N,0,0,7,7,7,N,N,0,40.8,0,24.5,6,2,N,5,N,8,35,1,6.4,518,48,N  ,N  ,N  ,,,,122,24,244,2014,,,               ,3,N,2,,1,0,0,1,6,0,0,6,1,,Y,N,26979,2039,,N,53,G,7,57.6
0,0,,000000JQ,302/105,47.38363889,-122.6292778,0,1,1,53,000000JQ0000000,1,3,1,302,0,3,53,0,'HENDERSON BAY',,'SR 302','10.6 E MASON CO',99.99,25.251,1,,0,47230110,122374540,61,3,1,1,14,1936,2,0,22327,2019,2,7.9,0,0,0,0,0,1,0,1,0,0,0,A,5,5,2,5,0,0,5,0,6.1,57.9,167.6,0,1.1,6.1,6.7,99.99,N,0,N,0,0,6,6,4,8,N,8,29.8,8,23,4,2,N,5,8,6,35,1,167.6,620,24,N  ,Y24,N  ,,1020,,3080,616,6160,2014,,,               ,0,N,2,,1,0,1966,1,1,0,0,4,1,,Y,5,32329,2039,,N,53,P,4,1122.92
0,0,,000000JV,508/25,46.59179444,-122.4294444,0,1,0,53,000000JV0000000,1,3,1,508,0,4,41,0,'CREEK',,'SR 508','24.1 E JCT I-5',99.99,38.753,0,,,46353046,122254600,56,3,1,1,7,1937,2,0,1178,2019,0,6.1,0,37,0,1,1,1,1,5,0,0,0,A,1,5,7,2,0,0,1,0,6,7.3,7.9,0,0,6,6.2,99.99,N,0,N,0,0,6,6,5,6,N,2,46.3,2,32.7,5,2,N,5,6,8,35,1,7.9,1021,24,N  ,N  ,N  ,,,,114,23,229,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,8,0,,Y,3,1517,2039,,N,53,F,5,48.98
1,1,,000000KN,#N/A,47.59,-122.2833333,0,1,1,53,000000KN0000000,1,1,1,90,0,1,33,0,'LAKE WASHINGTON',,'I-90','1.9 E JCT I-5',99.99,6.888,1,,0,47352400,122170000,2,3,1,1,11,1940,4,0,73775,2019,6,15.8,0,0,0,1,1,1,1,2,0,0,0,A,1,5,1,0,0,0,1,0,15.8,1999.8,1999.8,0,0,17.1,18.3,99.99,N,0,N,0,0,5,7,5,8,N,8,22.4,8,17.2,4,4,N,5,8,8,35,1,1999.8,521,24,N  ,Y24,Y12,,221,1121,70859,14172,141718,2014,,,               ,1,R,1,,1,0,1992,1,3,0,1,4,1,1,Y,8,104170,2039,,N,53,F,5,36596.34
0,0,,000000KO,90/24.5S,47.58997222,-122.2873056,0,1,1,53,000000KO0000000,1,1,1,90,0,1,33,0,'LAKE WASHINGTON',,'EB I-90','2.3 E JCT I-5',6.3,6.888,1,,0,47352390,122171430,2,3,1,1,11,1940,4,2,73775,2019,6,20.4,0,0,1,1,1,1,1,1,1,8.8,59.4,A,1,6,3,12,0,20,1,7,15.8,65.5,324.3,0,0,15.8,16.8,5.89,H,12.8,H,2.1,0,7,5,7,8,N,8,25.6,8,19.8,5,4,4,5,8,8,35,1,324.3,521,24,Y24,Y60,N  ,521,518,,14683,2937,29366,2014,,,               ,1,R,1,,1,0,1992,1,3,0,1,4,1,1,Y,5,104170,2039,,N,53,F,5,5448.24
1,1,,000000KP,90/25.5S,47.58925833,-122.2557722,0,1,1,53,000000KP0000000,1,1,1,90,0,1,33,0,'LAKE WASHINGTON',,'EB I-90','3.8 E JCT I-5',6.3,6.888,1,,0,47352133,122152078,2,3,1,1,11,1940,4,2,73775,2019,6,15.8,0,0,1,1,1,1,1,1,1,8.8,59.4,A,1,6,3,12,0,20,1,3,15.8,69.2,271.3,0,0,15.8,16.8,6.3,H,6.38,H,3.3,30.4,7,7,7,8,N,8,26.6,8,20.7,5,4,6,5,8,8,35,1,271.3,521,24,Y24,Y60,N  ,521,518,,9612,1922,19224,2014,,,               ,1,R,1,,1,0,1992,1,3,0,1,4,1,1,Y,5,104170,2039,,N,53,G,7,4557.84
0,0,,000000LM,12/12S,46.97597222,-123.8120556,0,1,1,53,000000LM0000000,1,2,1,12,0,3,27,0,'WISHKAH RIVER',,'US 12 / HERON ST','0.1 E JCT US 101',99.99,0.129,1,,0,46583350,123484340,2,3,1,1,14,1949,2,0,13779,2019,4,8.5,0,0,0,1,0,0,0,2,1,3,22.9,A,5,5,4,17,3,3,2,1,8.5,28.3,71.6,1.5,0,8.5,9,99.99,N,0,N,0,0,3,5,3,5,N,1,49,1,29,3,3,N,5,8,6,35,1,71.6,321,24,Y24,Y48,Y24,321,721,321,1410,282,2820,2014,,,               ,2,R,1,,1,0,0,3,9,0,0,6,1,2,Y,4,15763,2039,,N,53,P,3,644.4
0,0,,000000MA,#N/A,47.758725,-122.2037944,0,1,0,53,000000MA0000000,1,5,1,52200,0,1,33,7380,'STATE ROUTE 522',,'102ND AVE','0.2 E JCT SR 527',99.99,0.001,0,,,47453141,122121366,2,3,4,4,17,1950,2,4,8021,2018,3,8.2,0,0,0,1,0,0,0,5,0,0,0,A,5,6,3,2,1,4,3,3,6.7,13.7,75.3,2.3,0,6.7,10.1,99.99,H,4.78,H,0.3,0,4,5,5,8,N,8,24,8,18.5,4,2,3,5,8,8,35,1,75.3,920,24,N  ,Y60,N  ,,520,,1432,286,2865,2014,,,               ,0,N,2,,0,0,0,1,3,0,9,7,0,,Y,5,13000,2040,,N,53,P,4,760.53
0,0,,000000MB,101/27,46.44977778,-123.8724722,0,1,1,53,000000MB0000000,1,2,1,101,0,4,49,0,'SOUTH NEMAH RIVER',,'US 101','1.7 N JCT SR 4',99.99,49.278,1,,0,46265920,123522090,159,3,1,1,2,1951,2,0,2714,2019,3,11,0,0,0,1,0,1,0,5,0,0,0,A,1,5,7,2,0,0,2,0,11,5.8,12.2,0,0,11,11,99.99,N,0,N,0,0,8,8,6,8,N,2,36.3,2,23.6,6,5,N,5,8,8,35,1,12.2,920,24,N  ,N  ,N  ,,,,304,61,608,2014,,,               ,2,N,2,,1,0,0,8,6,0,0,9,1,,Y,U,3300,2039,,N,53,F,6,134.2
0,0,,000000MM,503/17,45.91122222,-122.4466944,0,1,1,53,000000MM0000000,1,3,1,503,0,4,11,0,'CHELATCHIE CREEK',,'SR 503','12.7 N JCT SR 502',99.99,33.41,1,,0,45544040,122264810,6,3,1,1,6,1953,2,0,4056,2019,5,9.1,0,0,0,1,1,1,0,5,0,0,0,A,1,5,3,2,0,0,1,0,9.1,8.5,9.4,0.1,0,9.1,9.4,99.99,N,0,N,0,0,8,7,7,8,N,1,89.8,1,65.3,7,4,N,5,6,8,35,1,9.4,920,24,N  ,N  ,N  ,,,,198,40,397,2014,,,               ,0,N,2,,0,2,0,1,6,0,0,7,1,,Y,3,5873,2039,,N,53,G,7,88.36
0,0,,000000MN,503/19,45.91715,-122.4349833,1,1,1,53,000000MN0000000,1,3,1,503,0,4,11,0,'N BRANCH CHELATCHIE CR',,'SR 503','13.5 N JCT SR 502',99.99,34.73,1,,0,45550174,122260594,6,3,1,1,6,1953,2,0,822,2019,5,7.3,0,0,0,1,1,1,0,5,0,0,0,A,1,5,1,1,0,0,1,0,7.9,6.7,7.6,0.1,0.1,7.9,8.6,99.99,N,0,N,0,0,3,7,7,7,N,1,52.6,1,31.7,7,5,N,5,6,8,35,1,7.6,721,24,N  ,N  ,N  ,,,,130,26,260,2014,,,               ,0,N,2,,0,2,0,1,6,2,0,10,1,,Y,3,1190,2039,,N,53,P,3,65.36
1,1,,000000MQ,503/22,45.92436111,-122.3828889,1,1,1,53,000000MQ0000000,1,3,1,503,0,4,11,0,'CHELATCHIE CREEK',,'SR 503','16.4 N JCT SR 502',99.99,39.348,1,,0,45552770,122225840,11,3,1,1,6,1954,2,0,2212,2019,5,7.3,0,0,0,1,1,1,0,5,0,0,0,A,1,5,1,1,0,0,1,0,7.9,5.5,6.4,0.1,0.1,7.9,8.4,99.99,N,0,N,0,0,8,8,7,6,N,1,46.3,1,28.1,7,3,N,5,8,8,35,1,6.4,920,24,N  ,N  ,N  ,,,,109,22,218,2014,,,               ,0,N,2,,0,2,0,1,6,0,0,10,1,,Y,3,3202,2039,,N,53,G,7,53.76
1,1,,000000MT,20/323,48.70066667,-121.2097778,0,1,1,53,000000MT0000000,1,3,1,20,0,1,73,0,'GORGE CREEK',,'SR 20','7.0 E SKAGIT CO',99.99,198.657,1,,0,48420240,121123520,159,3,1,1,6,1955,2,0,1701,2019,5,7.6,0,0,0,0,1,1,1,3,0,0,0,A,5,5,3,11,0,0,3,0,6.7,54.9,75.3,1.5,1.5,6.7,11.3,99.99,N,0,N,0,0,6,6,7,8,N,1,84.4,1,49.9,6,3,N,5,8,3,35,1,75.3,820,24,Y24,N  ,N  ,820,,,1334,267,2668,2014,,,               ,0,N,2,,0,0,0,3,9,0,0,7,1,,Y,9,2442,2039,,N,53,F,6,850.89
0,0,,000000MV,542/28,48.92127778,-122.0720194,0,1,1,53,000000MV0000000,1,3,1,542,0,1,73,0,'MAPLE CREEK',,'SR 542','3.4 E JCT SR 547',99.99,42.133,0,,,48551660,122041927,159,3,1,1,7,1900,2,0,1948,2019,3,7.9,0,13,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,7.3,9.8,10.4,0,0,7.3,7.9,99.99,N,0,N,0,0,6,6,6,7,N,1,54.4,1,32.7,6,4,N,5,3,8,35,1,10.4,618,48,N  ,N  ,N  ,,,,190,38,381,2014,,,               ,0,N,2,,0,2,1955,1,6,0,0,7,1,,Y,5,2797,2039,,N,53,F,6,82.16
0,0,,000000NB,101/29,46.47519444,-123.8849722,0,1,1,53,000000NB0000000,1,2,1,101,0,4,49,0,'SOUTH NEMAH RIVER',,'US 101','3.6 N JCT SR 4',99.99,52.336,1,,0,46283070,123530590,159,3,1,1,2,1957,2,0,2714,2019,3,11,0,23,0,1,0,1,0,5,0,0,0,A,1,5,4,2,0,0,3,0,8.8,11.3,14.6,0,0,8.8,9.2,99.99,N,0,N,0,0,6,6,7,6,N,2,31.7,2,20.9,5,4,N,5,8,8,35,1,14.6,821,24,N  ,N  ,N  ,,,,365,73,730,2014,,,               ,2,N,2,,1,0,0,8,6,0,0,9,1,,Y,U,3300,2039,,N,53,F,6,134.32
0,0,,000000NC,109/25,47.28444444,-124.2338333,0,1,1,53,000000NC0000000,1,3,1,109,0,3,27,0,'WRECK CREEK',,'SR 109','19.1 N JCT SR 115',99.99,56.601,0,,,47170400,124140180,24,3,1,1,7,1957,2,0,1606,2019,0,8.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,4,0,7.9,11.6,41.8,0.5,0.5,7.9,9,99.99,N,0,N,0,0,7,7,6,7,N,8,28.5,8,22,5,4,N,5,8,8,35,1,41.8,521,24,N  ,N  ,N  ,,,,822,164,1644,2014,,,               ,0,N,2,,0,1,0,1,1,0,0,3,1,,Y,3,1837,2039,,N,53,F,6,376.2
0,0,,000000NU,505/104,46.42997222,-122.7094167,0,1,0,53,000000NU0000000,1,3,1,505,0,4,41,0,'CEDAR CREEK',,'SR 505','10.7 E JCT I-5',99.99,21.871,0,,,46254790,122423390,68,3,1,1,7,1962,2,0,650,2019,0,8.5,0,18,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,7.3,15.2,15.8,0,0,7.3,7.8,99.99,N,0,N,0,0,8,7,7,8,N,1,77.1,1,46.3,7,4,N,5,8,8,35,1,15.8,121,24,N  ,N  ,N  ,,,,312,62,624,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,20,0,,Y,U,837,2039,,N,53,G,7,123.24
0,0,,000000NV,#N/A,47.64396944,-122.3042,0,1,1,53,000000NV0000000,1,3,1,513,0,1,33,0,'SR 520',,'SR 513 - MONTLAKE','JCT SR 520',99.99,0.001,1,,0,47383829,122181512,5,3,1,1,14,1962,6,7,36456,2019,5,25.6,2,0,1,0,0,0,0,4,N,0,0,A,5,1,2,5,0,0,2,0,25.6,26.8,46.3,3,3,23.2,39.3,99.99,H,4.44,H,2.4,30.4,6,6,7,N,N,1,89.8,1,54.4,6,4,3,5,N,8,35,1,46.3,520,24,N  ,N  ,N  ,,,,2614,523,5229,2014,,,               ,0,N,2,,1,0,0,1,5,0,0,3,1,,Y,N,51475,2039,,N,53,F,6,1819.59
0,0,,000000NW,#N/A,47.64421944,-122.3020333,0,1,0,53,000000NW0000000,1,5,1,520,0,1,33,0,'SR 520',,'24TH AVE','0.1 E JCT SR 513',99.99,0.08,0,,,47383919,122180732,2,3,1,1,19,1962,2,5,5000,2018,5,12.8,0,0,0,1,1,1,1,5,N,0,0,A,5,1,2,5,0,0,2,0,7.9,27.7,51.5,4.9,0,6.9,13.3,99.99,H,4.65,H,8,0.6,7,6,7,N,N,1,85.3,1,49.9,6,2,3,5,N,6,35,1,51.5,819,24,N  ,N  ,N  ,,,,1487,297,2974,2014,,,               ,0,N,1,,0,0,0,1,1,0,0,3,0,,Y,N,7000,2038,,N,53,F,6,684.95
0,0,,000000OC,90/10E-S,47.59255556,-122.3241667,0,1,1,53,000000OC0000000,1,1,7,90,0,1,33,0,'I-5/AIRPORT WAY RAMP',,'I-90 E-S RAMP','JCT I-5',99.99,0.001,0,,,47353320,122192700,3,3,1,1,11,1965,1,10,9815,2012,6,7,0,0,1,1,1,1,1,5,N,0,0,A,6,1,6,6,2,6,2,5,7.5,47.5,195.1,0,0,7.5,8.4,99.99,H,8.23,H,2.4,1.8,7,7,7,N,N,1,89.8,1,41.7,7,7,6,5,N,8,35,1,195.1,521,24,N  ,N  ,N  ,,,,3200,640,6400,2014,,,               ,0,N,1,,1,0,1991,1,3,0,0,5,1,,Y,N,16411,2036,,N,53,G,7,1638.84
0,0,,000000OH,501/20,45.81544444,-122.7312778,0,1,0,53,000000OH0000000,1,3,1,501,0,4,11,0,'GEE CREEK',,'SR 501','10.5 S JCT I-5',99.99,28.421,0,,,45485560,122435260,5,3,1,1,7,1965,2,0,5769,2019,0,9.1,0,0,0,0,0,1,0,5,0,0,0,A,5,5,3,3,0,0,1,0,7.3,19.2,20.4,1.1,0,7.3,8.7,99.99,N,0,N,0,0,7,6,6,5,N,1,45.4,1,27.2,6,2,N,5,8,8,35,1,20.4,620,24,Y24,N  ,N  ,620,,,429,86,858,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,4,0,,Y,U,8353,2039,,N,53,F,6,177.48
0,0,,000000OT,164/15,47.29194444,-122.2083889,0,1,1,53,000000OT0000000,1,3,1,164,0,1,33,0,'R ST',,'SR 164','1.1 E JCT SR 18',99.99,2.398,0,,,47173100,122123020,2,3,1,1,14,1970,4,2,32879,2019,6,17.1,0,20,0,0,0,1,N,5,N,0,0,A,5,1,5,5,0,0,1,0,14.6,48.8,49.1,1.5,1.5,14.6,18.3,99.99,H,4.34,H,1.7,0,7,7,7,N,N,1,64.4,1,38.1,7,2,4,5,N,8,35,1,49.1,820,24,N  ,N  ,N  ,,,,1868,374,3735,2014,,,               ,0,N,2,,0,0,0,1,6,0,0,4,1,,Y,N,46425,2039,,N,53,G,7,898.53
0,0,,000000OW,#N/A,47.67338889,-122.1325278,0,1,0,53,000000OW0000000,1,5,1,908,0,1,33,57535,'SAMMAMISH R',,'Redmond Way','2.5 MI E JCT I-405',99.99,7.001,1,420007010,0,47402420,122075710,2,3,4,4,14,1972,4,0,27000,2019,5,15.8,2,0,0,1,1,1,1,5,0,0,0,A,5,5,2,6,0,0,3,0,15.8,24.4,60,1.8,1.8,15.8,19.8,99.99,N,0,N,0,0,7,6,6,7,N,6,46.3,6,27.9,6,4,N,5,8,8,31,1,63.1,521,24,N  ,N  ,N  ,,,,5134,1027,10267,2014,,,               ,0,N,2,,1,0,0,1,6,0,0,2,0,,Y,3,35000,2039,,N,53,F,6,1188
